city,name,address,latitude,longitude,state,country,michelin_stars,chef,google_maps_link,website,venue_type,cuisine_type,collection,notes,description
Rome,La Pergola,"Via Alberto Cadlolo, 101, Roma RM, Italia",,,Lazio,Italy,3,Chef Heinz Beck,,https://romecavalieri.com/la-pergola/,,,Michelin,,
Rome,Il Pagliaccio,"Via dei Banchi Vecchi, 129/a, Roma RM, Italia",,,Lazio,Italy,2,Chef Anthony Genovese,,https://ristoranteilpagliaccio.com/,,,Michelin,,
Rome,Acquolina,"Via del Vantaggio, 14, Roma RM, Italia",,,Lazio,Italy,2,Chef Daniele Lippi,,https://www.pavilionshotels.com/destinations/italy/thefirstarte/dining/,,,Michelin,,
Rome,Enoteca La Torre,"Villa Laetitia, Roma RM, Italia",,,Lazio,Italy,2,Chef Domenico Stile,,https://enotecalatorrevillalaetitia.enotecalatorre.group/,,,Michelin,,
Roma,Zia,"Via Goffredo Mameli, 45, 00153 Roma RM, Italy",41.88700040000001,12.4681516,Lazio,Italy,1,Chef Antonio Ziantoni,https://maps.app.goo.gl/PyDAUE5EqMkUgo1T6,https://ziarestaurant.com/,Restaurant,,Both,Also in Gabby's selection,
Rome,Pulejo,"Prati area, near Vatican, Roma RM, Italia",,,Lazio,Italy,1,,,,,,Michelin,,
Rome,Pipero,"Rome city center, Roma RM, Italia",,,Lazio,Italy,1,,,https://www.piperoroma.it/,,,Michelin,,
Rome,Per Me Giulio Terrinoni,"Near Via Giulia, Roma RM, Italia",,,Lazio,Italy,1,Chef Giulio Terrinoni,,https://www.giulioterrinoni.it/,,,Michelin,,
Rome,Moma,"Via di San Basilio, 42, Roma RM, Italia",,,Lazio,Italy,1,Chef Andrea Pasquali,,https://www.ristorantemoma.it/,,,Michelin,,
Rome,Imàgo,"Piazza della Trinità dei Monti, 6, Roma RM, Italia",,,Lazio,Italy,1,Chef Andrea Antonini,,https://www.imagorestaurant.it/,,,Michelin,,
Rome,Glass Hostaria,"Trastevere district, Roma RM, Italia",,,Lazio,Italy,1,Chef Cristina Bowerman,,https://www.glasshostaria.it/,,,Michelin,,
Rome,Marco Martini,"The Corner Hotel, Roma RM, Italia",,,Lazio,Italy,1,Chef Marco Martini,,https://www.marcomartinichef.com/,,,Michelin,,
Rome,Idylio by Apreda,"Via di Santa Chiara, 4/A, Roma RM, Italia",,,Lazio,Italy,1,,,https://www.thepantheonhotel.com/idylio-by-apreda/,,,Michelin,,
Rome,Il Convivio Troiani,"Vicolo dei Soldati, 31, Roma RM, Italia",,,Lazio,Italy,1,Troiani Brothers,,https://www.ilconviviotroiani.it/,,,Michelin,,
Rome,Aroma,"Via Labicana, 125 - Palazzo Manfredi, Roma RM, Italia",,,Lazio,Italy,1,Chef Giuseppe Di Iorio,,https://www.manfredihotels.com/en/aroma/,,,Michelin,,
Rome,All'Oro,"Parioli area, Roma RM, Italia",,,Lazio,Italy,1,,,https://www.ristorantealloro.it/,,,Michelin,,
Rome,Orma,"Via Pietro Giannone, 24, Roma RM, Italia",,,Lazio,Italy,1,Chef Adriano Baldassarre,,https://www.ormaroma.it/,,,Michelin,,
Rome,Achilli al Parlamento,"Via dei Prefetti, Roma RM, Italia",,,Lazio,Italy,1,Chef Pierluigi Gallo,,https://achilli.restaurant/,,,Michelin,,
Roma,Rimessa Roscioli,"Via del Conservatorio, 58, 00186 Roma RM, Italy",41.89271249999999,12.47277,Lazio,Italy,0,,https://maps.app.goo.gl/Ef8yaTsVnQuL8UHw9,https://rimessaroscioli.com/,Bar,,Gabby,,Cozy Roman venue with refined tasting menus and wine pairings.
Roma,Pianostrada,"Via della Luce, 65, 00153 Roma RM, Italy",41.8887888,12.4752717,Lazio,Italy,0,,https://maps.app.goo.gl/FkDF4Ddm7RSrS6KcA,https://www.pianostrada-laboratoriodicucina.it/,Restaurant,,Gabby,,Artisan focaccia sandwiches and global fusion cuisine in a charming setting.
Roma,L'ANTIDOTO,"Vicolo del Bologna, 19, 00153 Roma RM, Italy",41.8910895,12.468896,Lazio,Italy,0,,https://maps.app.goo.gl/H5y9h7qCeUYR88JU8,https://www.enotecalantidoto.com/,Bar,,Gabby,,
Roma,Osteria La Quercia,"Piazza della Quercia, 23, 00186 Roma RM, Italy",41.8945897,12.471692,Lazio,Italy,0,,https://maps.app.goo.gl/t3kHbqT7mZVocY5y7,https://www.osterialaquercia.com/,Restaurant,Italian,Gabby,,"Intimate, wood-lined Italian restaurant with a tranquil outdoor terrace."
Roma,Ristorante Agrodolce Roma,"Piazza dei Crociferi, 25, 00187 Roma RM, Italy",41.9008222,12.481835,Lazio,Italy,0,,https://maps.app.goo.gl/isRjgZXy7KzwoEC47,https://www.agrodolceroma.it/,Restaurant,Italian,Gabby,,
Roma,La Matriciana dal 1870,"Via del Viminale, 44, 00184 Roma RM, Italy",41.900263,12.4959937,Lazio,Italy,0,,https://maps.app.goo.gl/3TLC6tz9eJYSWmL17,https://www.lamatriciana.it/,Restaurant,,Gabby,,"Traditional Roman cuisine, known for signature dish bucatini alla matriciana."
Roma,La Zanzara,"Via Crescenzio, 84, 00195 Roma RM, Italy",41.906101,12.4601136,Lazio,Italy,0,,https://maps.app.goo.gl/D5u2nFJ9zfprZxyw5,https://www.lazanzararoma.com/,Bar,,Gabby,,"Vintage-inspired bistro offering diverse menu of pasta, small plates, and artisanal drinks."
Roma,Il Maritozzo Rosso,"Vicolo del Cedro, 26, 00153 Roma RM, Italy",41.890171,12.46829,Lazio,Italy,0,,https://maps.app.goo.gl/wTR37aTgARizX4A99,https://www.ilmaritozzorosso.com/,Shop,,Gabby,,Unassuming venue serving traditional filled buns and terrace dining.
Roma,Caligola Osteria Sincera,"Via Leone IV, 123, 00192 Roma RM, Italy",41.9098922,12.455218,Lazio,Italy,0,,https://maps.app.goo.gl/YheMWzaisy3AfU7T8,https://www.caligolaosteriasincera.it/,Restaurant,Italian,Gabby,,
Roma,L'Elementare - Trastevere,"Via Benedetta, 23, 00153 Roma RM, Italy",41.8917231,12.4688924,Lazio,Italy,0,,https://maps.app.goo.gl/jv8Top8Upp3FGAM4A,https://pizzerialelementare.it/,Restaurant,,Gabby,,
Roma,Giacomelli,"Via Emilio Faà di Bruno, 25, 00195 Roma RM, Italy",41.9140944,12.4570153,Lazio,Italy,0,,https://maps.app.goo.gl/7oKMvA4tT7BnbY686,https://www.hostariapizzeriagiacomellisas.it/,Restaurant,,Gabby,,Family-owned pizzeria serving diverse Italian cuisine and homemade desserts.
Roma,Ristorante L'Archeologia,"Via Appia Antica, 139, 00179 Roma RM, Italy",41.8554803,12.5169268,Lazio,Italy,0,,https://maps.app.goo.gl/kyvTg3BVSCi9KGMFA,https://www.larcheologia.it/,Restaurant,Italian,Gabby,,Refined Roman cuisine in a historic underground wine cellar.
New Delhi,The Big Chill Cakery,"3-b, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",28.5997996,77.2260637,Delhi,India,0,,http://maps.google.com/?cid=163204577822598567,,Cafe,,Saved,Bakery and cafe,
Berkeley,Chez Panisse,"1517 Shattuck Ave., Berkeley, CA 94709, USA",37.8796069,-122.2689248,California,United States,1,,https://www.google.com/maps/place/Chez+Panisse/data=!4m2!3m1!1s0x80857ea1255c8b71:0x4163509ac1eb5cf9,https://www.chezpanisse.com/,Cafe,California,Saved,Famous California cuisine,
Oakland,Commis,"3859 Piedmont Ave, Oakland, CA 94611, USA",37.8247083,-122.2548833,California,United States,2,,https://www.google.com/maps/place/Commis/data=!4m2!3m1!1s0x80857df831793917:0x8c2140faeb8a6342,https://commisrestaurant.com/,Restaurant,California,Saved,,Innovative New American cuisine with open-kitchen concept and prix fixe menu.
Oakland,Gold Palm,"1900 Telegraph Ave, Oakland, CA 94612, USA",37.8082133,-122.2696923,California,United States,0,,https://www.google.com/maps/place/Gold+Palm/data=!4m2!3m1!1s0x808f810060fa9779:0x58eb2c069ed863e9,http://www.goldpalmoakland.com/,Bar,,Saved,,
Oakland,Mesa Maguey,"4031 Broadway, Oakland, CA 94611, USA",37.8281337,-122.2566544,California,United States,0,,https://www.google.com/maps/place/Mesa+Maguey/data=!4m2!3m1!1s0x80857d5902fea53b:0xabc8d43ca55770e3,http://mesaoakland.com/,Bar,Mexican,Saved,,
Berkeley,Fish & Bird Sousaku Izakaya,"2451 Shattuck Ave., Berkeley, CA 94704, USA",37.8648104,-122.2671991,California,United States,0,,https://www.google.com/maps/place/Fish+%26+Bird+Sousaku+Izakaya/data=!4m2!3m1!1s0x80857f19b36c5b49:0x50cabf07a8975eda,https://fishbirdizakaya.com/,Restaurant,Japanese,Saved,Japanese izakaya,
Oakland,Sushi Salon,"4008 Martin Luther King Jr Way, Oakland, CA 94609, USA",37.8300343,-122.2682126,California,United States,0,,https://www.google.com/maps/place/Sushi+Salon/data=!4m2!3m1!1s0x80857f9320dca517:0x4f6ce85deca56aec,https://www.sushi-salon.com/,Restaurant,Japanese,Saved,,
Oakland,Pomet,"4029 Piedmont Ave, Oakland, CA 94611, USA",37.8260683,-122.2532584,California,United States,0,,https://www.google.com/maps/place/Pomet/data=!4m2!3m1!1s0x80857db258183003:0x4aec270aeac567af,https://pomet-oakland.com/,Restaurant,French,Saved,excepptionally fresh california farn to table produce,
Oakland,Soba Ichi,"2311A Magnolia St, Oakland, CA 94607, USA",37.8170756,-122.2851254,California,United States,0,,https://www.google.com/maps/place/Soba+Ichi/data=!4m2!3m1!1s0x80857f9d10fbddc1:0xc223efa369049bb5,https://sobaichioakland.com/,Restaurant,Japanese,Saved,,Authentic Japanese soba noodles handmade on-site in a cozy setting.
Berkeley,Great China,"2190 Bancroft Way, Berkeley, CA 94704, USA",37.8676762,-122.2661728,California,United States,0,,https://www.google.com/maps/place/Great+China/data=!4m2!3m1!1s0x80857e9d0ba3811b:0x8eb009586964780e,https://www.greatchinaberkeley.com/,Restaurant,Chinese,Saved,,Chic Chinese restaurant with renowned Peking duck and classic dishes.
